公司,城市,简评,结果,难度,自评
广发银行信用卡,广州,<p>本科工作经验一年半，面的社招，面了3轮花了2个半天，面试地珠江新城。</p><p>1、电话面试（10分钟）HR会先打电话了解个人情况，包括工作经验、目前在职情况、薪酬水平（不要说谎后面要提供流水的）、为什么要离职之类的，算是一个基本理解，OK之后敲定面试时间。</p><p>2、初试花了3个钟。</p><p>（1）笔试+问卷（2个半钟）进去先是填一份个人资料问卷，基础情况+期望薪酬之类的，很简单。接下来就是笔试，考试内容主要是sas基础+案例分析，难度不算特别大，sas考的内容相对基础，如果之前有数据分析经验的话，案例分析做起来也很顺畅。</p><p>（2）领导面试所在岗位的领导进行面试，HR也在场，三对一，先是自我介绍，然后面试官会开始提问，问的内容基本都是针对简历的，工作经验、做过的项目、项目成果，因为我当时还带了一份简单的分析报告，这个也算是加分项了。最后会有面试者提问时间，由面试官跟HR小姐姐解答，当时主要也是问的公司的一些常用软件还有岗位的实际工作。总体过程很轻松，大家都有问有答。当天就能收到初面结果，通过了。</p><p>3、复试花了1个钟。</p><p>（1）部门总经理面试（20分钟）因为面的是核心部门，部门领导人比较忙，所以等了10分钟。个人介绍，除了一些简单经验，问的主要是一些自我定位、职业规划之类的，总体算是比较大的问题，没问特别多细节。</p><p>（2）业务经理面试+HR介绍（40分钟）同样HR在场，三对一，问的比较深入，包括项目经验、个人技能，会给出一个案例，要求简单讲述分析思路跟角度，最后还问了几个算法上的问题（这里有点没回答好，但是后续没影响，所以压力不要太大）。可能因为我的定位比较困难，所以HR问了我介不介意在一个低一点的岗位上轮岗，我说了OK没问题，然后后续还重新介绍了一下公司的晋升渠道。</p><p>隔天晚上通知面试通过，然后开始背景调查、流水提供、性格测试、入职体检（免费的），最后敲定offer开始走流程准备资料入职（BTW，最后走的这个流程真的很久，走了差不多3周了，差点以为临门一脚没戏了）。总体来说，面试过程是我本人挺紧张的，但是遇到的面试官都比较和善且有礼貌，问的问题也不会特别刁钻，而且会很耐心地给求职者介绍公司情况，结果通知等待过程还是比较短的，就是入职手续比较繁琐，不过大公司，充分理解了。</p>,面试通过,一般,很好
mobike摩拜单车,南昌,面试数据分析岗，目前过了两轮，第一轮是问的sql基本操作，第二轮涉及到了统计学知识，分布，假设检验，分类问题的应用等。,感觉靠谱,有难度,很好
天津塔塔,天津,电话邀约，笔试SQL题，TL面试。笔试做得好，一切没问题。HR谈薪资，一定要多要，哈哈，后来永远比你多。,面试通过,一般,一般
苏州新东方,苏州,<p>三轮面试，一轮笔试。</p><p>1.部门主管面试，聊了一下需求之类的，岗位主要工作；</p><p>2.技术面，也不知道是不是技术面，聊的好像和数据关系并不大，出了数据库的题 手写查询，数据结构二叉树之类的，内存管理、文件分割，大概是这些大概过了几天之后进行第三轮；</p><p>3.总监面试就是说了一下岗位加班很严重之类的，前后不到15分钟4笔试主要是excel的用法。</p><p>总结：整体下来不是很难，但是流程时间比较久，hr，技术面，总监态度都还不错，面试通过之后还有试岗期，试岗期结束后才能拿到offer，如果通过了直接签合同，但是在这之前好像并不知道自己的岗位薪资。</p>,面试通过,一般,一般
亚信(AsiaInfo),上海,过程比较简单，就是按照简历看你会啥，会的回答，差不多达到他们的条件就可以了，很多东西都是基础的，自己掌握就好。,感觉靠谱,有难度,很好
汇丰环球,广州,51上面投简历，hr约面试，先做测试题，有sas和quantitive的全英测试题，然后和department manager聊，全英。,感觉没戏,困难,很好
华润,深圳,群面，两个面试官，一个记录在电脑上记录什么另一个主要问问题，基本问的就是项目一类，问问薪资就没有什么了,感觉靠谱,一般,一般
eBay,上海,现场限时完成三道SQL题；两轮单面：第一轮是基本情况了解加电脑技能细挖，压力面试；第二轮针对我前一份在滴滴的实习经历进行深入挖掘，主要为用户画像和精准营销方面的问题。面试官比较严肃，会push你。,面试通过,困难,很好
facebook SG,北京,"<p>上周刚结束fb店面。分享一下。攒攒人品！bq: why fb? why leaving? walk-through resume. sql. 三个instgram data tables：table 1: name， group table 2: user_id, name table 3: user_id, user_follower &nbsp; &nbsp; calculate how many followers per group?&nbsp;</p><p>很简单，两个join 就可以了。business sense: why facebook acquire instgram? 统计：what&#39;s p-value? 一共45分钟，国人小哥，很 nice！</p>",感觉靠谱,困难,一般
飞利浦(中国)投资有限公司,上海,面试官是直线经理，面试开始先请你自我介绍，然后询问相关的专业课程和项目经历。面试官比较随和，和你说明本岗位的大致工作内容，也会和你强调是否对这份工作有兴趣。面试完后，面试官说过几天HR会通知结果。从Philips出来，我再次告知HR面试已经结束了。HR表示，直线经理感觉面试不错，如果确定录用后续会通知我。过了1个月我也没收到确认的邮件，也没有面试未通过的邮件。我挺疑惑的，What&#39;s the problem?,面试未通过,一般,一般
